2024-09-16 13:21:25 DEBUG config.ConfigKt - Cargando configuración DataBaseManager
2024-09-16 13:21:25 DEBUG config.ConfigKt - Configuración cargada correctamente
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Inicializando el gestor de Bases de Datos con SQLDelight
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Borrando tablas si existen
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Creando tablas
2024-09-16 13:21:25 DEBUG t.servicies.TenistasServiceImplKt - Cargando tenistas desde CSV
2024-09-16 13:21:25 DEBUG t.storage.TenistaStorageCSVKt - Carganado tenistas desde fichero Csv
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=57, nombre=Lucas Pouille, pais=Francia, altura=185, peso=81, puntos=650, mano=DIESTRO, fechaNacimiento=1994-02-23, created_at=2024-09-16T13:21:25.9055538, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=58, nombre=Juan Ignacio Londero, pais=Argentina, altura=180, peso=72, puntos=600, mano=DIESTRO, fechaNacimiento=1993-08-15, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=59, nombre=Thiago Monteiro, pais=Brasil, altura=183, peso=78, puntos=550, mano=ZURDO, fechaNacimiento=1994-05-31, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=60, nombre=Corentin Moutet, pais=Francia, altura=175, peso=70, puntos=500, mano=ZURDO, fechaNacimiento=1999-04-19, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=61, nombre=Emil Ruusuvuori, pais=Finlandia, altura=188, peso=79, puntos=450, mano=DIESTRO, fechaNacimiento=1999-04-02, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=62, nombre=Pedro Martinez, pais=España, altura=185, peso=78, puntos=400, mano=DIESTRO, fechaNacimiento=1997-04-26, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=63, nombre=Alexei Popyrin, pais=Australia, altura=196, peso=78, puntos=350, mano=DIESTRO, fechaNacimiento=1999-08-05, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=64, nombre=James Duckworth, pais=Australia, altura=183, peso=82, puntos=300, mano=DIESTRO, fechaNacimiento=1992-01-21, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=65, nombre=Marco Cecchinato, pais=Italia, altura=185, peso=78, puntos=250, mano=DIESTRO, fechaNacimiento=1992-09-30, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=66, nombre=Alex Bolt, pais=Australia, altura=183, peso=80, puntos=200, mano=ZURDO, fechaNacimiento=1993-01-05, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
